Name,Rating,Address,Phone_Number
Seasonal Tastes,4.6,"The Westin, Main Gulshan Ave",01730-304871
The Garden Kitchen at Sheraton Dhaka,4.5,44 Kemal Ataturk Ave,01313-709099
Amrit restaurant,4.7,21 Road No. 17,01982-700700
Breeze Restaurant,4.4,"House# 1/C, 1/D, Road# 16",01305-073888
Bistro-E,4.4,"1st Floor NE (N, Bay's Edgewater, 12 Felani Ave",01799-337700
Meat Theory,4.8,"Tower B11, Level 14 Plot 43, Block F Road No. 11",01633-642902
The Grove Bistro,4.5,"Level 12, Hamid Tower, Gulshan Circle 2, 22 DIT II Cir",01315-063084
MANZO Restaurant Dhaka,4.4,"2nd Floor, 114 Gulshan Ave",01329-668880
Latest Recipe,4.6,"Le Méridien, Dhaka 79",09638-900089
Koreana Restaurant,4.4,"House No, 22 Rd 123",01321-200601
Palm View Restaurant,4.2,,01714-422566
Sajna Restaurant,4.1,"House 14, House 14 Road No. 11",01978-811684
Hongbao,4.5,65 Gulshan Ave,01870-111222
Takumi,4.6,"Plot9 1st Floor, Zahirul Tower, 9 Rd No 113/A",01729-201215
The Green Lounge,4.3,"Rupayan Trade Center, 114, Rupayan Trade Center, 18th Floor, 114 Kazi Nazrul Islam Ave",02-41030212
Zephyr Restaurant & Lounge,4.3,"Catharsis Tower, House-133 Rd 12",01321-197337
Laughing Buddha,4.4,"4th floor, 153/A Gulshan North Ave",01842-844464
Almajlis Arabian Restaurant | مطعم المجلس العربي,4.6,"2nd Floor, Faisal Tower, 27 North C/A",01830-000233
Istanbul Restaurant Dhaka,4.1,"QCW7+79W, House-10, Road-53, Gulshan Circle-2, Top of Weavers Level-6 Dhaka",01771-000000
Travel East Banani,4.2,25b Rd No 18,01713-325801
Travel East Banani,4.2,25b Rd No 18,01713-325801
Bird's Eye Roof Top Restaurant and Convention Hall,4.2,"H.No 56/1 19th floor, Baitul View Tower",01766-387071
O' Play Restaurant,4.2,"Block H, House 36 Road No.7",01309-009889
Soi 71,4.2,House-8 Rd 101,N/A
Flambe Restaurant,4.3,"K Building, Block-NW, 06 Rd No. 50",01819-263289
Tu do Restaurant,4.6,House- 59 Road No.7,01329-673193
OLIO STEAK,4.8,,01711-994437
Barcode Cafe,4.3,House 55/B Rd No # 21,01735-986411
Lake Terrace,4.0,"House # 25/E, Lake Drive Rd",01618-377223
Turkish Bazaar & Restaurant,4.2,"House 48/E, 131 Road No 13C",02222-284527
Lucknow Dhaka,4.1,"Block- B, House-35 Rd No 18",01874-050405
The Atrium Restaurant,4.1,"50 & 52, Pragati Avenue, J Block, Baridhara",01712-444422
Goong The Castle,4.4,"House no: 88, House no: 88, 12/B Rd No. 50",01975-238624
Oro Dhaka,4.4,"6/A, Rangs FC 2 corner of Rd 32 and, Gulshan Ave",01930-555000
El Toro Mexican Restaurant,4.1,H # 9/A R # 36,01717-040005
Magpie Restaurant,4.0,"24, 4 Bashundhara Rd",01615-515500
Yumi at Sheraton Dhaka,4.5,"Level 27, 44 Kemal Ataturk Ave",01313-709032
Grandiose Restaurant,4.4,"Dhaka Regency Hotel & Resort (Level 6, Tongi Diversion Rd",01713-332661
Handi (Gulshan Branch),4.0,"House no -108, Gulshan Avenue Road, Flamingo Point, 3rd Floor (Adjacent to Azad Masjid) Dhaka, Bangladesh",01798-779900
VAULT | Modern Asian Restaurant,4.2,"Autograph Tower, 67-68 Kemal Ataturk Ave",01897-646488
"C House Milano, Bangladesh",4.5,Gulshan Centre Point,01755-533317
MOJA Korean Fusion Restaurant,4.8,"11th Floor, Hamid Tower, Gulshan C/A",01744-860622
The New Gulshan Plaza Restaurant,4.2,33 Rd 45,01850-509001
Bar B Q Tonite,4.2,"House No.36, Road No.16 (NEW) , 27(OLD) Dhanmondi R/A",01763-772110
